program_title,unique_users,content_count,device_name,country_code,product_type
Da Vinci's Demons,18,21,ios,no,svod
Været,17,17,androiddash,no,svod
Det Stora Experimentet,17,18,ios,se,svod
Lego Marvel Super Heroes: Maximum Overload,17,17,ios,se,svod
Masterchef,17,17,atv,se,svod
Sameblod,17,17,ios,se,svod
NFL SE,17,17,ios,se,svod
Angry Birds Stella,17,25,ios,se,svod
Superliga,17,17,ios,dk,svod
Antiques Road Trip,17,17,ios,se,svod
Dræberne fra Nibe,17,17,pcdash,dk,svod
Blitz,17,17,ios,se,svod
Utøya 22. juli,17,17,ios,dk,tvod
Liza Marklund,17,17,ios,se,svod
Boligjakten,17,20,samsung2017xdk,no,svod
Football: Bundesliga Live,17,17,pcdash,fi,svod
Escape Plan,17,17,androiddash,dk,svod
Tennis WTA 2018 Beijing,17,17,androiddash,dk,svod
The Marine 5: Battleground,17,17,androiddash,dk,svod
Bonderøven - sæson 21,16,16,ios,dk,svod
Till det som är vackert,16,16,ios,se,svod
European Tour DK,16,16,ios,se,svod
Outsiders,16,18,samsung2014xdk,se,svod
Mit Plastikmareridt,16,17,atv,dk,svod
Viking Dead,16,16,pcdash,dk,svod
Bundesliga SE,16,16,ios,se,svod
Lilo & Stitch 2: Stitch Has a Glitch,16,16,ios,dk,svod
The Fairly OddParents,16,17,ios,se,svod
Step Up 2: The Streets,16,16,atv,dk,svod
Brottskod,16,16,ios,se,svod
Sunshine,16,16,pcdash,se,svod
Peter Pan,16,16,androiddash,se,svod
"Mune, le gardien de la lune",16,16,androiddash,se,svod
Life,15,15,atv,se,svod
D3: The Mighty Ducks,15,15,chromecast,se,svod
UFC Unleashed,15,16,atv,dk,svod
P.S. I Love You,15,15,ios,no,svod
The Mighty Ducks,15,15,chromecast,se,svod
Kingdom of Heaven,15,15,androiddash,se,svod
Complications,15,16,atv,se,svod
Sofias änglar,15,16,ios,se,svod
Transparent,15,16,chromecast,no,svod
Familjen Kardashian,15,15,ios,se,svod
E-sports,15,15,ios,fi,svod
